file_name,tempo,beats,rmse,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,zero_crossing_rate,tonnetz,chroma_stft_0,chroma_stft_1,chroma_stft_2,chroma_stft_3,chroma_stft_4,chroma_stft_5,chroma_stft_6,chroma_stft_7,chroma_stft_8,chroma_stft_9,chroma_stft_10,chroma_stft_11,chroma_cqt_0,chroma_cqt_1,chroma_cqt_2,chroma_cqt_3,chroma_cqt_4,chroma_cqt_5,chroma_cqt_6,chroma_cqt_7,chroma_cqt_8,chroma_cqt_9,chroma_cqt_10,chroma_cqt_11,chroma_cens_0,chroma_cens_1,chroma_cens_2,chroma_cens_3,chroma_cens_4,chroma_cens_5,chroma_cens_6,chroma_cens_7,chroma_cens_8,chroma_cens_9,chroma_cens_10,chroma_cens_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5
$ave Dat Money.mp3,143.5546875,"[ 35  53  72  90 108 127 145 163 181 199 215 231 249 266 285 303 321 339
 358 377 395 412 428 444 462 480 498 517 535 553 571 590 608 625 641 657
 675 693 712 730 748 766 785 803 821 840]",0.1317184,2632.320793944517,2372.9176060157465,5119.556513739849,"[18.89248251 14.29424403 16.3406219  16.18285896 17.60794561 16.58575651
 48.44395212]",0.1311324046548724,[ 0.01564716 -0.02259803  0.01584242 -0.05835595  0.00789511  0.02708032],0.39374924,0.37415934,0.40979603,0.43376023,0.45252952,0.47432187,0.5589036,0.5038088,0.5278588,0.46715543,0.41828027,0.39212522,0.4118929,0.39927313,0.4568794,0.540532,0.56360465,0.59581006,0.81469524,0.6468957,0.49810228,0.53977,0.475779,0.43640894,0.17174281,0.16684714,0.22189589,0.2793667,0.2818517,0.33134258,0.42198595,0.36506414,0.2239131,0.27053982,0.23377275,0.17915025,18.892482513734002,14.294244026051441,16.34062189913823,16.1828589618977,17.607945607065375,16.58575651053616,48.44395212381829,-152.2637,74.50375,-9.481711,18.250523,-2.8773592,12.9027195,-6.3279676,5.607227,0.36706826,9.204324,2.200534,4.049641,-0.9754581,2.8105464,-0.35022455,4.3087964,-1.4972906,1.2511312,-2.883872,3.3311894,0.015647155935193557,-0.02259803013179801,0.015842422303849305,-0.05835595117609662,0.007895112737903784,0.0270803245859493
'Til You Can't.mp3,161.4990234375,"[ 15  32  48  64  80  97 112 129 145 161 177 193 209 226 242 258 274 289
 306 323 339 355 371 387 403 419 435 452 468 484 500 517 532 548 564 581
 597 613 629 646 662 678 694 710 726 742 758 775 791 807 823 839]",0.19625038,1810.5993221487195,2194.320910264864,3581.9559119417054,"[23.29762307 17.91057646 21.82578342 22.07686861 22.94539298 21.82374489
 48.87074919]",0.07133324572215777,[-0.24242595 -0.0523792  -0.13923181  0.03824445  0.00799066 -0.0437007 ],0.27946484,0.47006872,0.24877703,0.39558762,0.2663343,0.3870239,0.24819402,0.27023718,0.52801377,0.26443493,0.23269261,0.1670585,0.2929008,0.68113166,0.23965238,0.4095911,0.2744908,0.5329499,0.34456375,0.31546736,0.63540757,0.2532808,0.4300731,0.19168022,0.15921617,0.46172827,0.10440994,0.26833674,0.1416343,0.36474758,0.20233089,0.17487009,0.4276292,0.10481556,0.258556,0.05408503,23.297623070455817,17.910576455052663,21.82578341568514,22.07686861268853,22.945392975319177,21.823744885748756,48.87074918685895,-108.84121,120.078545,2.5112226,13.462854,13.818642,6.9071283,-4.993038,2.7698143,-2.8252463,0.48040318,-11.568557,2.0296824,-5.5927124,-4.076502,-9.970603,-5.3081894,-11.966074,-6.709518,-10.335267,-0.25881052,-0.24242594716962124,-0.05237919609382921,-0.13923180581172048,0.03824445444511419,0.007990657232425365,-0.043700700259514655
'Tis The Damn Season.mp3,143.5546875,"[  3  20  37  55  73  90 108 125 143 161 179 197 215 232 250 268 285 303
 321 338 356 374 391 409 425 444 462 479 496 515 532 550 567 585 603 621
 639 657 674 692 709 727 745 764 782 798]",0.120155185,1584.1000457920447,2084.4152521741084,3280.241263051044,"[25.65984118 19.18240921 21.6970813  18.97971112 19.26999706 23.4755556
 44.95997009]",0.05424283552059165,[ 0.05820097  0.27636922 -0.10143634  0.04617478 -0.04535867 -0.02114285],0.25051108,0.14020054,0.10263614,0.10364623,0.29539588,0.72022027,0.35603714,0.3795712,0.26075467,0.3058262,0.16179124,0.15930843,0.41919976,0.17596446,0.24663325,0.14563902,0.2170784,0.7077345,0.24893402,0.52911186,0.215394,0.37477416,0.1591453,0.24137542,0.32911623,0.07761368,0.12179528,0.046424583,0.13644636,0.53361076,0.18092413,0.37512702,0.13164578,0.27433443,0.068651944,0.16463266,25.65984118195836,19.182409207932928,21.697081298124534,18.97971112209285,19.269997055331178,23.475555599305057,44.95997008581714,-182.45584,134.44798,7.6909513,26.157782,15.271483,-12.034246,5.0622916,-0.08844334,-2.9538562,-0.11748085,-6.3604183,-1.9442981,-11.029718,-0.44563687,-10.439887,-1.1472572,-2.8755836,0.5961267,2.130064,-0.5608876,0.058200965423081036,0.27636921654036145,-0.10143633753065626,0.04617478065797721,-0.04535867044636274,-0.02114284564141319
(There's No Place Like) Home For The Holidays (1954).mp3,143.5546875,"[ 25  43  62  81 101 121 139 157 177 195 213 232 249 266 283 301 318 337
 356 374 393 412 432 450 468 487 505 523 542 560 577 595 614 632 650 668
 686 704 722 740 758 775 793 809 825 842]",0.07847016,1498.1033505377243,1827.8670033965286,3014.5734959578017,"[24.30769191 21.12306594 22.87111098 21.18734246 19.90681987 20.53514765
 49.52939634]",0.05885884933294663,[-0.01488395  0.06577399  0.02980826 -0.04431086  0.00830617 -0.01140467],0.29101908,0.22027889,0.24852175,0.23491262,0.22156882,0.2489748,0.23561135,0.27467757,0.24171469,0.29489735,0.38492593,0.31933725,0.32060355,0.2650155,0.35673025,0.3652786,0.34554166,0.36797535,0.2864872,0.35768697,0.30196646,0.32622936,0.4444153,0.33576322,0.22174716,0.16089696,0.24663503,0.25237343,0.23020291,0.23437877,0.1921859,0.23264527,0.19993636,0.2298449,0.3124184,0.22207136,24.30769190631653,21.12306593899011,22.871110977135693,21.187342458982677,19.906819871252896,20.535147648486785,49.52939634039208,-253.52654,116.84381,-3.3448038,36.149746,2.683242,7.016622,-4.353786,0.43016332,-0.5133547,2.548362,-5.820571,6.627575,-4.4013815,4.795063,-3.5620272,0.34591484,-1.8968228,-5.473867,-2.6636076,-4.2658863,-0.014883945995729394,0.06577398891954103,0.029808262702328187,-0.04431085697301781,0.008306171537046715,-0.011404665846462879
(There's No Place Like) Home For The Holidays (1959).mp3,143.5546875,"[ 25  43  62  81 101 121 139 157 177 195 213 232 249 266 283 301 318 337
 356 374 393 412 432 450 468 487 505 523 542 560 577 595 614 632 650 668
 686 704 722 740 758 775 793 809 825 842]",0.07847016,1498.1033505377243,1827.8670033965286,3014.5734959578017,"[24.30769191 21.12306594 22.87111098 21.18734246 19.90681987 20.53514765
 49.52939634]",0.05885884933294663,[-0.01488395  0.06577399  0.02980826 -0.04431086  0.00830617 -0.01140467],0.29101908,0.22027889,0.24852175,0.23491262,0.22156882,0.2489748,0.23561135,0.27467757,0.24171469,0.29489735,0.38492593,0.31933725,0.32060355,0.2650155,0.35673025,0.3652786,0.34554166,0.36797535,0.2864872,0.35768697,0.30196646,0.32622936,0.4444153,0.33576322,0.22174716,0.16089696,0.24663503,0.25237343,0.23020291,0.23437877,0.1921859,0.23264527,0.19993636,0.2298449,0.3124184,0.22207136,24.30769190631653,21.12306593899011,22.871110977135693,21.187342458982677,19.906819871252896,20.535147648486785,49.52939634039208,-253.52654,116.84381,-3.3448038,36.149746,2.683242,7.016622,-4.353786,0.43016332,-0.5133547,2.548362,-5.820571,6.627575,-4.4013815,4.795063,-3.5620272,0.34591484,-1.8968228,-5.473867,-2.6636076,-4.2658863,-0.014883945995729394,0.06577398891954103,0.029808262702328187,-0.04431085697301781,0.008306171537046715,-0.011404665846462879
1 Night.mp3,129.19921875,"[  3  22  42  63  84 104 124 144 163 182 204 224 244 263 283 304 323 343
 363 382 401 422 442 462 480 499 522 542 561 581 601 621 641 660 681 700
 720 740 760 780 799 820 840]",0.15333334,2289.297177443621,2414.7366975839827,4769.567021416401,"[23.38259145 19.01767747 20.98282239 19.70035825 21.04703082 23.51664454
 47.11977821]",0.08698147023636892,[ 0.08845921  0.08882173 -0.02256086  0.02875575 -0.00381871  0.00817253],0.5447263,0.44955125,0.5547171,0.32433936,0.33954293,0.28209463,0.3075583,0.38536406,0.3050463,0.3429339,0.24864909,0.3365638,0.63686985,0.54280365,0.6311626,0.3812593,0.3956885,0.3124546,0.25816098,0.362587,0.29046246,0.33534655,0.24254863,0.30798692,0.4212109,0.35159987,0.43198943,0.23846997,0.25178584,0.17129028,0.1263976,0.230935,0.15296277,0.20421222,0.09442907,0.16560608,23.382591447237257,19.017677474811638,20.982822393963446,19.700358250575075,21.04703082496468,23.51664453841296,47.11977821075104,-152.90628,94.16092,7.6946974,9.123111,1.8765478,4.041103,-9.32232,-6.678337,-14.580192,8.861839,-17.368492,-1.007395,1.6848174,-7.20078,-7.339731,4.1265078,-8.886259,-3.190611,-0.624633,1.714246,0.08845921469327395,0.08882173071897681,-0.022560859706227062,0.028755749729213336,-0.003818707012528427,0.008172527496355097
1-800-273-8255.mp3,99.38401442307692,"[ 10  36  61  88 114 140 166 192 218 244 269 295 321 346 372 398 423 450
 476 501 527 552 579 604 629 655 681 707 733 759 784 811]",0.095044695,1635.2648963294998,1997.4533663924456,3142.3738059200987,"[26.01688356 18.01575896 20.76706226 20.71421331 22.30200923 23.57634932
 53.0057182 ]",0.07592433566560325,[-0.24539076  0.13408553 -0.10012596  0.11158423 -0.02807486 -0.0325386 ],0.3345769,0.18809535,0.19186932,0.24559179,0.29460102,0.50776756,0.23794773,0.3216639,0.41327444,0.30933934,0.5093224,0.2867411,0.5569559,0.42632434,0.22475587,0.36559048,0.23837397,0.664704,0.1953146,0.28980973,0.66662115,0.22557847,0.54284465,0.21963784,0.3554808,0.24352445,0.10059595,0.20361902,0.11364749,0.42560357,0.056682665,0.14955704,0.43499815,0.08768769,0.34805712,0.08517399,26.016883561792234,18.015758958506478,20.767062262226887,20.714213312727292,22.30200922569178,23.57634932256148,53.00571819998242,-173.5781,131.27736,1.1172884,4.068965,5.793627,8.662439,-6.87339,8.176862,-17.137745,3.939844,-0.1867217,-2.5517476,-12.355943,-2.0608373,-5.0331035,-3.8283179,-3.490458,-3.3252113,-7.243643,-2.7556908,-0.24539076404910187,0.1340855281116595,-0.10012595625075663,0.1115842341194728,-0.028074864316659235,-0.03253860362959926
1.5.mp3,83.35433467741936,"[ 16  47  77 108 139 170 201 232 263 293 323 355 386 416 447 478 509 540
 570 603 633 663 693 724 755 786 816]",0.37688267,2013.5442916679417,2440.739148196052,4593.616770591648,"[22.1241426  14.20495073 17.40138621 16.84596715 18.47008722 20.99239707
 50.19791459]",0.043014066125290025,[-0.06586039  0.0453492  -0.05714945  0.1467002   0.05522065  0.03518498],0.66626114,0.62089723,0.6622997,0.7109338,0.73130906,0.66191506,0.59162736,0.5886878,0.5805886,0.60795045,0.6320141,0.6624664,0.7761556,0.7927767,0.40735742,0.5194415,0.40945458,0.24557486,0.17082022,0.28982294,0.30835494,0.2850349,0.26974058,0.22580186,0.4917811,0.50548476,0.26798046,0.33833584,0.2701201,0.10579474,0.0486894,0.1720885,0.17634241,0.14976294,0.15582028,0.09743771,22.124142599049026,14.204950725943561,17.401386207376145,16.845967148298943,18.470087217689105,20.992397074805943,50.19791459414599,-98.560036,85.28602,15.628854,34.38498,23.874088,12.7474785,-4.2589025,19.946558,0.8959214,19.50053,6.238935,12.292299,10.547333,8.6800785,1.3144373,6.2889256,-0.4685883,3.437206,5.4154162,4.918856,-0.06586039302613059,0.04534920432162692,-0.05714944910404998,0.14670020104504758,0.05522065017332767,0.03518497578939099
"10,000 Hours.mp3",89.10290948275862,"[ 54  82 110 139 168 197 225 254 283 312 340 369 398 426 455 484 513 541
 570 599 627 656 684 714 743 771 800 828]",0.31121323,2267.698552313141,2529.963507328527,4872.886427593895,"[21.47490252 16.10526041 20.77372478 20.68467551 20.61397358 19.46017216
 48.70461496]",0.09098684926044083,[-0.0814462   0.17726701  0.0835144  -0.11229134  0.054742   -0.01932926],0.37537062,0.268698,0.32056925,0.2166277,0.27307826,0.5360385,0.38159394,0.4018871,0.31620142,0.40263182,0.50142294,0.32871702,0.33881328,0.34527716,0.4227971,0.45334673,0.22219904,0.40326396,0.33279464,0.6370434,0.34933883,0.32828474,0.64610285,0.21868153,0.21459809,0.19019277,0.2873017,0.28079957,0.08207407,0.2935146,0.20202917,0.4372513,0.18835531,0.19931518,0.4267629,0.07984006,21.47490251898441,16.105260408562874,20.77372478138752,20.684675513578814,20.61397357798921,19.460172160612025,48.70461496045017,-19.779272,87.90093,3.992234,32.50566,17.048883,9.792064,2.3525789,9.111941,-3.701834,12.0215225,2.1440928,0.41546136,-1.2647504,9.104792,0.40805706,-0.8023327,-1.3079926,1.8191739,-2.5019577,5.2714806,-0.08144620333390061,0.1772670066790814,0.08351440443776181,-0.11229133522656608,0.05474200263953343,-0.01932926013068503
223's.mp3,95.703125,"[ 15  43  69  97 124 151 178 205 233 260 287 315 341 369 396 422 450 478
 505 532 559 587 614 640 668 695 722 749 776 804]",0.19509618,2638.3828754159267,2805.786279989038,5777.2185075587295,"[23.14060069 15.52511725 17.50226847 16.42870424 18.37032008 18.93433906
 47.47193737]",0.06246374709976798,[ 0.02438867  0.13305873  0.07675432  0.01961935  0.02293409 -0.05011867],0.46748358,0.43046638,0.50263816,0.5103795,0.5409795,0.6094715,0.5514654,0.6454623,0.7218022,0.69871473,0.6213238,0.47577107,0.27134645,0.2755129,0.30133647,0.24881677,0.2771443,0.45529613,0.33383474,0.7173768,0.47508144,0.31616756,0.29187727,0.23788069,0.18947893,0.18375908,0.23075464,0.15517658,0.16779646,0.2939383,0.24417941,0.5408366,0.332566,0.22235908,0.18592052,0.13745704,23.14060068716552,15.525117247249842,17.502268470483976,16.42870423585799,18.370320076866932,18.93433905770942,47.47193737339884,-147.26189,70.54707,33.089443,29.072931,19.309496,17.77947,7.6304317,10.719448,2.275685,17.74705,-3.71411,10.363192,4.124296,6.6343164,4.474432,10.1562805,0.40202522,1.7468865,4.330054,1.848041,0.024388665617909328,0.1330587292980204,0.0767543190645092,0.01961934676916744,0.022934087557996558,-0.050118670102507014
