Song,Artist,Label,YouTube_URL
Break Da Law,21 Savage,1,https://www.youtube.com/watch?v=whxKTWgG1ds
Out For The Night,21 Savage,1,https://www.youtube.com/watch?v=BXd04k_NFLE
1.5,21 Savage,0,https://www.youtube.com/watch?v=X473_RaP3K0
A Lot,21 Savage,1,https://www.youtube.com/watch?v=DmWWqogr_r8
Can't Leave Without It,21 Savage,1,https://www.youtube.com/watch?v=l5M64JuiZAE
Gun Smoke,21 Savage,0,https://www.youtube.com/watch?v=7iHE4OtP_F0
ASMR,21 Savage,0,https://www.youtube.com/watch?v=UlT8BgOXAoo
All My Friends,21 Savage,1,https://www.youtube.com/watch?v=udOSsEXaUxE
Bank Account,21 Savage,1,https://www.youtube.com/watch?v=H1KBHFXm2Bg
Red Opps,21 Savage,0,https://www.youtube.com/watch?v=mWISiHcGoNg
Monster,21 Savage,0,https://www.youtube.com/watch?v=EfikUUvjh34
No Heart,21 Savage & Metro Boomin,1,https://www.youtube.com/watch?v=6wtwpUwxQik
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,1,https://www.youtube.com/watch?v=f4RmrWhQxrM
X,21 Savage & Metro Boomin Featuring Future,1,https://www.youtube.com/watch?v=SpXw0qiy3Wo
Mood,24kGoldn Featuring iann dior,1,https://www.youtube.com/watch?v=GrAchTdepsU
Youngblood,5 Seconds Of Summer,1,https://www.youtube.com/watch?v=-RJSbO8UZVY
Kooda,6ix9ine,1,https://www.youtube.com/watch?v=yz7Cn3pHibo
Gummo,6ix9ine,0,https://www.youtube.com/watch?v=gAs9HZC9c7Y
Look Back At It,A Boogie Wit da Hoodie,1,https://www.youtube.com/watch?v=RWDXD8tAkPo
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,1,https://www.youtube.com/watch?v=mk9YcoZCuzA
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,1,https://www.youtube.com/watch?v=zGcAr9qzIAY
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,1,https://www.youtube.com/watch?v=DEoAbqwmZro
