,Song,Artist,Label,YouTube_URL,tempo,beats,rmse,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,zero_crossing_rate,chroma_stft_0,chroma_stft_1,chroma_stft_2,chroma_stft_3,chroma_stft_4,chroma_stft_5,chroma_stft_6,chroma_stft_7,chroma_stft_8,chroma_stft_9,chroma_stft_10,chroma_stft_11,chroma_cqt_0,chroma_cqt_1,chroma_cqt_2,chroma_cqt_3,chroma_cqt_4,chroma_cqt_5,chroma_cqt_6,chroma_cqt_7,chroma_cqt_8,chroma_cqt_9,chroma_cqt_10,chroma_cqt_11,chroma_cens_0,chroma_cens_1,chroma_cens_2,chroma_cens_3,chroma_cens_4,chroma_cens_5,chroma_cens_6,chroma_cens_7,chroma_cens_8,chroma_cens_9,chroma_cens_10,chroma_cens_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_mean,mfcc_mean,spectral_contrast_mean,chroma_cens_mean,chroma_cqt_mean,chroma_stft_mean
0,Break Da Law,21 Savage,1,https://www.youtube.com/watch?v=whxKTWgG1ds,143.5546875,"[ 20  36  55  75  94 112 131 148 167 184 204 222 240 258 275 295 314 332
 350 369 387 403 423 442 460 478 496 515 534 550 570 588 606 624 643 661
 681 699 717 736 754 772 790 808 826]",0.25537655,2469.2845001455366,2551.2123171808016,5280.168728928002,"[24.34891068 15.52012128 17.06214727 15.70387465 16.19881805 18.34823326
 47.94574686]",0.0618814348897911,0.4420525,0.45697984,0.5250075,0.63114446,0.67864275,0.66813856,0.6092136,0.5282564,0.4463068,0.42400682,0.46880633,0.47991526,0.14474763,0.17921372,0.39254066,0.98277086,0.4243168,0.25862962,0.21649653,0.16467498,0.13835904,0.13423772,0.14029391,0.12519264,0.048304945,0.121412486,0.36673477,0.7434248,0.37581205,0.2125412,0.15814397,0.10318053,0.04501249,0.03265026,0.047491822,0.03621459,24.348910678877303,15.520121282210336,17.062147274016738,15.70387465149998,16.198818048006938,18.348233256925525,47.94574685868993,-68.373314,79.25426,-6.283427,18.71452,3.2395387,6.985993,-5.2189727,14.666623,-4.4817696,9.641313,4.5387874,7.859396,8.798496,10.154886,2.8263273,10.888779,6.688837,5.5654488,4.796187,6.8628917,-0.1751590042197362,0.0081318266003222,0.2507929064283739,-0.0139152690721784,-0.0023071185152886,0.1040786797146468,0.028603670156023275,5.856240030000002,22.161121721460965,0.19091032608333333,0.2751228425,0.5298725683333333
1,Out For The Night,21 Savage,1,https://www.youtube.com/watch?v=BXd04k_NFLE,172.265625,"[ 15  30  45  60  75  90 105 120 135 149 163 178 193 208 224 239 254 269
 284 299 314 329 344 359 373 388 403 418 433 448 463 478 493 508 523 538
 552 567 581 597 612 627 642 657 672 686 701 716 731 747 762 776 791 806
 820]",0.26412213,2395.214781894688,2619.2882193899563,5265.80493333998,"[22.77989908 14.48792718 16.61736908 15.97281897 17.65464207 19.36819112
 49.16468834]",0.056898360462587,0.5309359,0.42721996,0.43634564,0.46512976,0.56124496,0.5809747,0.6055615,0.5985966,0.64967847,0.6884731,0.6393672,0.57393914,0.2338201,0.21467532,0.24472737,0.46599892,0.5233263,0.2963315,0.39055377,0.31894338,0.34009677,0.5066505,0.35940123,0.27083185,0.13787532,0.11776266,0.1574096,0.30362445,0.37066242,0.19812925,0.27201837,0.2078274,0.24979822,0.33692467,0.25445488,0.18679841,22.779899077153328,14.48792717904822,16.617369083784443,15.972818969698256,17.654642070702888,19.36819111944952,49.16468833891472,-108.41223,82.85542,14.622112,22.638636,22.66602,15.873458,4.63333,22.813633,-5.70902,19.806559,5.0231657,7.5159307,6.209541,7.2663455,4.295157,10.684099,1.1462371,4.39269,5.1546793,3.562679,0.0567712153131107,-0.0598674132261962,-0.0026725145735349,0.0313970958046924,0.0330237483681453,0.0458028232681472,0.017409159159060748,7.351922115000001,22.29221940553591,0.2327738041666667,0.3471130841666667,0.5631222441666666
2,1.5,21 Savage,1,https://www.youtube.com/watch?v=X473_RaP3K0,83.35433467741936,"[ 16  47  77 108 139 170 201 232 263 293 323 355 386 416 447 478 509 540
 570 603 633 663 693 724 755 786 816]",0.37688267,2013.5442916679417,2440.739148196052,4593.616770591648,"[22.1241426  14.20495073 17.40138621 16.84596715 18.47008722 20.99239707
 50.19791459]",0.04301406612529,0.66626114,0.62089723,0.6622997,0.7109338,0.73130906,0.66191506,0.59162736,0.5886878,0.5805886,0.60795045,0.6320141,0.6624664,0.7761556,0.7927767,0.40735742,0.5194415,0.40945458,0.24557486,0.17082022,0.28982294,0.30835494,0.2850349,0.26974058,0.22580186,0.4917811,0.50548476,0.26798046,0.33833584,0.2701201,0.10579474,0.0486894,0.1720885,0.17634241,0.14976294,0.15582028,0.09743771,22.124142599049023,14.20495072594356,17.401386207376145,16.845967148298943,18.470087217689105,20.992397074805943,50.19791459414599,-98.560036,85.28602,15.628854,34.38498,23.874088,12.7474785,-4.2589025,19.946558,0.8959214,19.50053,6.238935,12.292299,10.547333,8.6800785,1.3144373,6.2889256,-0.4685883,3.437206,5.4154162,4.918856,-0.0658603930261305,0.0453492043216269,-0.0571494491040499,0.1467002010450475,0.0552206501733276,0.0351849757893909,0.02657419819986875,8.405519485000003,22.89097793818696,0.23163652,0.39169467499999994,0.643079225
3,A Lot,21 Savage,1,https://www.youtube.com/watch?v=DmWWqogr_r8,143.5546875,"[  3  20  37  55  74  92 109 127 145 162 180 198 216 233 252 269 287 303
 320 340 358 375 393 411 428 446 463 481 499 516 534 551 569 587 604 623
 641 658 676 694 712 729 746 765 782 799 817 836]",0.2970561,1896.583679742944,2452.158667381459,4405.838246356583,"[22.87425647 15.05985481 18.49008218 17.56259008 17.7805104  20.94425336
 45.9078604 ]",0.0354032228828306,0.7406786,0.71062356,0.62155324,0.5652587,0.4772965,0.4382853,0.41558775,0.4503457,0.4635123,0.49358073,0.57376194,0.6251188,0.85402805,0.5871586,0.47403464,0.47773087,0.48897097,0.653892,0.5440153,0.59027123,0.56311405,0.5374451,0.51602644,0.5425294,0.44985303,0.27154374,0.20893456,0.20700109,0.22565268,0.32013726,0.2638865,0.28042686,0.2577705,0.25619563,0.24786384,0.26222563,22.87425646756085,15.059854806113648,18.490082178678108,17.56259008489601,17.780510403149265,20.94425335932613,45.907860398095,-100.99784,96.44007,8.803528,25.173868,24.682402,12.998555,7.084877,11.381167,-6.178771,17.780607,4.795298,2.9281824,7.181114,7.991995,6.430235,15.299912,-2.3803425,8.842171,4.495227,2.871886,-0.0107946626504051,0.0797312667409367,-0.0148523156822871,0.0840519833402262,-0.0044552227894143,0.0296098014324678,0.027215141731920703,7.7812070449999995,22.659915385402716,0.27095761,0.5691013875,0.5479669266666666
4,Can't Leave Without It,21 Savage,1,https://www.youtube.com/watch?v=l5M64JuiZAE,135.99917763157896,"[ 16  34  52  70  89 108 126 146 166 186 205 225 244 264 284 304 323 342
 361 381 400 421 440 459 479 499 518 538 557 575 594 616 636 655 674 694
 715 734 753 772 793]",0.26296088,2389.6855299873887,2346.994035298826,4792.798899497898,"[21.61951936 15.3949542  17.2560149  16.84751634 17.03687776 21.22932804
 49.07642169]",0.1027492160310324,0.39506245,0.46464753,0.4685578,0.43365872,0.41774198,0.4257138,0.48370162,0.45781362,0.5513267,0.52898604,0.48652166,0.44961476,0.35621244,0.5462558,0.40892896,0.39090914,0.2598323,0.3109636,0.53452593,0.32879186,0.35840672,0.36625442,0.35321873,0.36295044,0.22100557,0.36084816,0.2682476,0.23342879,0.12912476,0.19969723,0.34627882,0.19991003,0.22675991,0.21129231,0.20475976,0.2003644,21.619519358929004,15.394954197504775,17.25601490047249,16.847516343072154,17.036877763513125,21.229328039447932,49.07642168662619,-66.62423,88.61177,-3.7145946,25.763489,8.732478,4.7753124,-9.256178,18.346241,-14.207785,6.248784,1.7484319,-7.7566457,3.1733394,1.2783246,-7.5526643,4.8107204,-7.3211484,-0.6967842,-0.9541047,-2.2037742,-0.0474998783302022,-0.0921026523009392,-0.0392455855382309,-0.0833873784670871,0.0073450449455266,0.0272714702902456,-0.0379364965667812,2.1600490800000003,22.63723318422367,0.23347644500000006,0.38143752833333333,0.46361222333333346
5,Gun Smoke,21 Savage,1,https://www.youtube.com/watch?v=7iHE4OtP_F0,172.265625,"[ 10  25  40  55  71  86 101 116 131 146 161 176 192 207 222 238 253 268
 283 298 314 329 344 360 375 389 405 420 435 450 465 481 496 511 526 541
 557 572 587 603 618 633 648 663 679 694 709 724 739 754 769 785 800 815
 831]",0.3447085,1666.1899100291198,2183.107376874109,3545.5093419192285,"[20.63441614 14.51315836 16.96394989 17.39033248 18.41007953 20.03003612
 46.56168412]",0.0426855242169373,0.66135126,0.671543,0.651877,0.6435218,0.6690859,0.6600866,0.56934077,0.5614569,0.5586092,0.62341785,0.66900706,0.6648035,0.5126677,0.6087431,0.8839995,0.6026802,0.46844313,0.546092,0.427498,0.37335104,0.39181656,0.41765627,0.38599852,0.2550583,0.23617871,0.34513044,0.5266293,0.334584,0.22180898,0.26824653,0.1855591,0.17975184,0.1728039,0.20773447,0.16225216,0.05709175,20.634416137823973,14.513158364744394,16.96394988606712,17.390332479426306,18.41007952742372,20.030036115325537,46.56168412085052,-112.36935,114.231476,8.973034,23.105999,19.99547,10.629944,7.9092193,17.582537,-1.6694992,9.5959015,4.3816056,7.4016004,5.825294,7.01939,1.9080284,11.839662,-0.36378595,3.4629254,1.2004533,4.9139843,0.0405934296641514,0.0746795457153836,-0.0376729170593008,-0.1054983966532239,-0.035982488158576,-0.0045346341772748,-0.011402576778140085,7.278694452500001,22.071950947380223,0.24148093166666662,0.48950036,0.6336750699999999
6,ASMR,21 Savage,1,https://www.youtube.com/watch?v=UlT8BgOXAoo,172.265625,"[ 19  34  49  64  80  95 110 124 139 154 170 186 201 216 231 247 261 277
 292 307 323 338 353 368 383 398 413 429 444 459 474 490 505 520 536 551
 566 581 596 611 626 642 657 671 687 702 717 733 748 763 778 794 809 823]",0.33693585,1518.3925716690887,2071.488215642015,3462.5740352196926,"[21.02298259 14.84451871 17.1555386  16.32635976 17.14579591 20.00294937
 48.88952302]",0.0439532428219257,0.5676959,0.60062283,0.57552373,0.5075609,0.53699094,0.5598587,0.646241,0.7166841,0.60238886,0.5718808,0.5485733,0.5741751,0.7299813,0.77034295,0.64073825,0.47125873,0.43428865,0.46760458,0.6801083,0.47742403,0.3506616,0.32086614,0.30375162,0.32809505,0.3852389,0.4318704,0.3554529,0.23033889,0.21013604,0.2300542,0.37699595,0.2570255,0.15246098,0.13074438,0.122978695,0.13138703,21.02298258650136,14.844518712820694,17.15553859855644,16.326359763729307,17.145795907869243,20.00294937255445,48.88952301866356,-114.25594,121.71797,16.329851,22.39141,10.460435,19.962498,1.2896583,23.00295,1.2789704,12.79785,8.45807,4.1052537,1.8321178,6.7600646,2.680259,6.660638,0.3372002,3.6206732,4.8611693,7.510649,0.0014696799512486,-0.015969504776236,-0.0469787461432498,-0.0358096633977289,0.0151790552690067,0.0307657928251944,-0.008557231045294164,8.090087375000001,22.198238280099297,0.25122365541666664,0.4979267666666667,0.5840163466666666
7,All My Friends,21 Savage,1,https://www.youtube.com/watch?v=udOSsEXaUxE,129.19921875,"[  4  23  43  63  83 103 123 143 163 183 203 222 242 263 282 302 323 342
 362 382 400 421 441 461 481 501 522 542 562 581 600 620 641 661 680 700
 720 740 760 780 801 820 839]",0.18790828,1825.137731791136,2151.679430596452,3873.3536085230567,"[22.29513894 16.02187464 18.31521349 17.87958869 18.86512437 20.64305599
 48.24482371]",0.0697528458526682,0.52668244,0.32163456,0.35220662,0.3525152,0.45920497,0.33792117,0.44174564,0.40607673,0.28244993,0.30618873,0.3969075,0.7267365,0.6711496,0.3659638,0.3252356,0.29787883,0.61701435,0.38031828,0.27307576,0.34133348,0.21617831,0.2503458,0.23597765,0.51376826,0.4296415,0.22196223,0.19572511,0.17306064,0.4231503,0.21850696,0.15792537,0.225019,0.083729714,0.12647782,0.11316323,0.38223076,22.295138943013505,16.02187463760176,18.31521348813974,17.879588685982572,18.86512437079523,20.64305599165669,48.24482370744824,-96.02355,115.862625,-5.7116456,27.446564,5.3616815,5.5257883,2.6371603,5.8910747,-7.8072777,3.8996143,0.36392784,-2.6859524,-1.5569681,-1.5616472,-8.597467,3.287589,-13.486372,2.2951229,-6.937042,0.42469507,0.111949988463468,0.02884077052695,0.0478114990394326,0.1710444739079772,0.0166165766208343,0.0002352925060152,0.06274976684411289,1.4313960455,23.18068854637682,0.22921605283333335,0.3740199766666667,0.40918916583333337
8,Bank Account,21 Savage,1,https://www.youtube.com/watch?v=H1KBHFXm2Bg,123.046875,"[  3  25  46  67  88 111 133 154 175 197 219 243 265 288 312 335 355 375
 395 416 437 458 478 498 518 538 558 575 594 613 633 658 677 697 719 739
 759 779 799 819]",0.04643506,1727.6086305700646,1883.635172345861,3332.7378133610064,"[21.95275534 15.02115689 18.07803382 19.37020271 21.59613532 20.54010462
 48.86544384]",0.0863011619054524,0.3604945,0.31834087,0.34897074,0.35141468,0.28424352,0.26567495,0.26456448,0.40713677,0.3311707,0.42618057,0.5228312,0.38755497,0.54134786,0.5585058,0.55990195,0.45310402,0.48563597,0.3472158,0.35830384,0.45595837,0.42338824,0.5797898,0.552443,0.45730612,0.3003666,0.30348694,0.30459395,0.23672195,0.2487937,0.16605945,0.16643901,0.23872092,0.2157667,0.32623774,0.30780628,0.24265817,21.952755343459987,15.021156887410967,18.07803382419444,19.37020271060437,21.596135315028352,20.54010461691276,48.86544384288097,-280.4049,117.05183,-2.4349504,25.510172,3.733659,12.392725,-8.899948,4.842263,8.438773,-0.14637165,-0.5435724,-3.569127,-4.896976,-0.10233585,-1.962219,1.0892315,-1.7536266,2.2422497,-5.0082107,-6.9269996,0.0296738976997743,0.0167160271850724,-0.0215070262797645,-0.00571008024223,0.0168307214266248,0.0035029428696645,0.006584413776523583,-7.0674167,23.63197607721312,0.2548042841666666,0.48107506416666673,0.3557148291666667
9,Red Opps,21 Savage,1,https://www.youtube.com/watch?v=mWISiHcGoNg,95.703125,"[ 11  37  66  98 126 156 184 213 239 266 293 317 344 367 394 421 449 476
 504 532 559 586 612 636 660 683 706 733 757 782 807 834]",0.29949465,2654.90384788903,2718.008872803445,5584.856058992532,"[23.82540988 16.21537336 17.22574269 18.20738085 16.9397655  20.15985491
 46.92458214]",0.0848810678291763,0.5190329,0.45542204,0.49475053,0.6108185,0.86368525,0.86326325,0.7593317,0.69070745,0.69355386,0.5865426,0.50925344,0.53582376,0.10470759,0.10996567,0.13459922,0.29296422,0.95386106,0.32207498,0.13183436,0.12723736,0.15375182,0.11370314,0.08639131,0.16282938,0.04309283,0.028800348,0.105663754,0.35668075,0.7915855,0.27145693,0.06901356,0.07067557,0.1310014,0.056492843,0.011431777,0.18657881,23.825409884121267,16.21537336282891,17.225742691632277,18.20738085405183,16.939765496564164,20.15985491207766,46.92458213836564,-58.28902,66.49881,9.493875,41.08715,20.525028,1.6602886,7.28338,21.611584,-1.8605312,14.558257,6.2186775,6.646746,7.1261134,7.2548366,1.8712957,2.7481573,-0.63071084,-2.420021,-0.6054375,8.935666,0.235341854073706,-0.1667404049875037,0.0389614290322265,0.3741461051781413,0.1067967616997025,-0.0856305597125273,0.08381253088062422,7.985707228000001,22.785444191377394,0.17687283933333334,0.22449334250000005,0.6318487733333332
