Song,Artist,Label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Gun Smoke,21 Savage,0,217.77807219021656,5.178675171942956,59.523432731009834,-57.545132205177985,109.69336081675266,84.93309763963883,-23.822052046194038,-0.04158959882234969,88.8930555207854,31.98801011407192,72.01338473842317,22.62941650293533,2.9871391589748737,-8.473346912756972,-16.61732338982472,56.510581619098,-10.716302309348594,-9.978425183308602
Bank Account,21 Savage,1,8.99785814594571,9.232806508823266,-19.10724472097832,-9.207285787696586,-96.72559562268765,113.68272027619618,-41.15885735786373,23.91281745632345,-60.11661160739656,0.8948252375036195,23.102465213348623,-54.26633076094614,-2.7422799156453355,3.6412460054947817,2.2380647043097732,-9.331464028936793,-54.001477911975016,-7.551556126648308
Monster,21 Savage,0,89.55127297053586,55.97565306684327,-33.644990956655136,-50.167870128541146,-84.39272463665922,15.009781719244296,78.0038241374584,31.6998072722141,27.29917705700536,45.81346929917411,-32.50967594874445,-0.587473378190025,52.82489673489545,-33.87928949652755,-57.40558727349043,-39.192013689568526,22.341323019704472,7.381428586111569
X,21 Savage & Metro Boomin Featuring Future,1,50.251343039671674,65.28009835835266,-23.255988827544996,24.892724493743525,-117.85338886020051,-19.419696377221197,61.331923783566424,-3.8790821666715622,-21.430970425581386,-30.800033866796195,-33.859842255527276,-17.930856270301135,29.33646195910139,43.95141170367345,-28.697984348515458,-13.80771224639755,15.60128968920212,4.307002973145313
Youngblood,5 Seconds Of Summer,1,-175.61167184742757,11.165725971251083,35.64972040964344,-114.64783070835917,-26.33612766754289,-26.75846806659718,-22.84063111442438,-130.14756171850664,2.291089748313292,-25.236162341829278,-19.448257935034647,49.935816348386304,46.80805341244606,49.715183263134755,-0.16249507414692488,14.693898048875642,-43.38935633042715,25.287289376631204
Tennessee Rain,Addison Agen,1,-210.91183856929604,44.172562056825456,-65.2717374480416,75.84318377639775,3.9565428170752845,-30.85826442569754,-35.05025644964125,-26.194662341464756,59.943891156008945,-40.29017233156051,-29.239507538012266,45.95876215905316,41.113127219808874,13.301368099631478,-15.61677624678108,-5.799817759118311,-59.920369288600575,-37.921553604210295
When We Were Young,Adele,1,119.93005233584114,-52.037691194206694,25.40658084415875,-41.5687566315339,19.706139428296915,201.30307518598352,9.326325272258673,15.089448635158508,48.490594108301096,2.190785658525173,-116.29055496775992,0.5995185596235807,-16.918763895744732,15.432265114685459,-37.36454487951964,15.203127779982886,40.99122872475061,17.961926327716824
Scars To Your Beautiful,Alessia Cara,1,52.30539249347405,-37.893828985706584,-64.02163991506447,-58.95729660784726,-104.81256071138299,-12.041082729726952,-44.40636711700333,20.910264325644395,70.40267252675147,3.104955255521766,31.56129028966606,84.81918358460175,47.36216425924374,-54.2687964964259,72.44797126047352,65.79125286877354,23.631601088857963,12.82281244105694
Here,Alessia Cara,1,57.82663252528192,32.277946349788,-53.52272003000711,-80.62968003146652,37.339381623706075,-30.25270230558309,-62.760530658411035,75.06469508587021,24.3649249369727,36.95588858970068,-49.74730383231485,13.322039876278897,-12.02058865981671,143.8505028599596,25.764738175543116,-15.74969266288869,29.66515456927663,29.33558053278763
La Jumpa,Arcangel & Bad Bunny,1,261.22357810820245,-164.32021892717412,-34.668752849163766,13.615707059876913,6.889062337621974,-56.17387106385279,29.99944305455543,-9.614413694158985,0.024083169036184578,-38.30974175921588,4.201215655142349,-121.72399685656093,-26.690582625910803,19.576919145818678,-19.233102265018683,74.15366337312253,15.453846262404078,-16.032834541360334
Focus,Ariana Grande,1,-21.8196448049053,15.269038838828674,72.43431055810291,103.32702493167564,93.91867790021347,-134.99754839929952,-98.12223532742632,64.65721156716285,-104.46744387570072,-5.626944269663862,-79.57094382788256,18.179020778543876,19.801192954419875,24.211781923136098,-61.7144699481635,-9.24208738839176,20.386495298477307,16.525848049845987
Positions,Ariana Grande,1,120.57853734798752,55.50410545251836,-102.21958059166667,-63.20110502197309,-62.784706095338656,-147.38286540996873,-14.215395471257771,123.183233996662,8.031285716116352,63.489933590777525,54.10682560193481,-19.13932843200945,20.15118995794951,-15.600888754965496,-6.378920016812673,20.510607551720728,6.041445148922387,5.88552210205464
"Thank U, Next",Ariana Grande,0,35.26699609635572,97.3168692000375,67.45155550060026,31.283742476656855,-44.789225514189816,-58.775772003507726,-113.87239429735851,10.698557846445071,22.25225632264353,36.70655496752999,34.51170878626016,-6.6248803358836,25.354221920787495,27.85292721284684,-26.59154056474367,12.427697451668731,41.08843984098862,3.935623444220035
Kings & Queens,Ava Max,1,87.71166325011608,106.73412312718297,-17.179402753839867,100.02440852343717,216.26597648918275,-111.07466354656451,-112.34538845868023,28.38112422428085,61.585306946029334,7.609810488952392,-72.65072710743404,15.132653702342129,90.12642277997212,2.7478966079721463,-11.18070627339045,70.4168442758936,16.1178058968929,68.16593705976099
